订单号,状态,开始时间,结束时间,电量kWh,金额,手机号,电桩编号,电站
CH2026073100003,已完成,2026-07-31 20:38:24,2026-07-31 20:58:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080100001,已完成,2026-08-01 01:25:24,2026-08-01 01:55:24,30.0,38.4,18611112222,ST01-P01,北京理工大学充电站
CH2026080100004,已完成,2026-08-01 02:08:24,2026-08-01 03:08:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026080100006,已完成,2026-08-01 02:12:24,2026-08-01 03:12:24,60.0,72.0,13912345678,ST03-P01,五道口地铁充电站
CH2026080100005,已完成,2026-08-01 02:55:24,2026-08-01 04:10:24,75.0,96.0,18611112222,ST01-P01,北京理工大学充电站
CH2026080100007,已完成,2026-08-01 03:56:24,2026-08-01 04:46:24,50.0,67.5,13800138000,ST02-P01,中关村软件园充电站
CH2026080100002,已完成,2026-08-01 05:57:24,2026-08-01 07:12:24,8.75,11.2,18611112222,ST01-P03,北京理工大学充电站
CH2026080100009,已完成,2026-08-01 21:34:24,2026-08-01 22:14:24,40.0,51.2,13800138000,ST01-P02,北京理工大学充电站
CH2026080100016,已完成,2026-08-01 22:30:24,2026-08-01 23:10:24,4.667,6.3,18611112222,ST02-P04,中关村软件园充电站
CH2026080100012,已完成,2026-08-01 23:47:24,2026-08-02 01:02:24,75.0,96.0,18611112222,ST01-P02,北京理工大学充电站
CH2026080200010,已完成,2026-08-02 00:49:24,2026-08-02 01:09:24,20.0,27.0,18611112222,ST02-P02,中关村软件园充电站
CH2026080200017,已完成,2026-08-02 00:56:24,2026-08-02 02:11:24,75.0,101.25,13800138000,ST02-P02,中关村软件园充电站
CH2026080200014,已完成,2026-08-02 01:51:24,2026-08-02 02:31:24,40.0,51.2,18611112222,ST01-P01,北京理工大学充电站
CH2026080200008,已完成,2026-08-02 02:52:24,2026-08-02 03:32:24,40.0,54.0,13800138000,ST02-P01,中关村软件园充电站
CH2026080200013,已完成,2026-08-02 02:55:24,2026-08-02 03:15:24,20.0,24.0,13912345678,ST03-P02,五道口地铁充电站
CH2026080200018,已完成,2026-08-02 04:06:24,2026-08-02 05:21:24,8.75,10.5,13800138000,ST03-P03,五道口地铁充电站
CH2026080200011,已完成,2026-08-02 05:41:24,2026-08-02 06:31:24,5.833,7.87,18611112222,ST02-P04,中关村软件园充电站
CH2026080200015,已完成,2026-08-02 06:16:24,2026-08-02 06:56:24,40.0,51.2,13800138000,ST01-P02,北京理工大学充电站
CH2026080200023,已完成,2026-08-02 18:15:24,2026-08-02 19:30:24,75.0,101.25,13800138000,ST02-P02,中关村软件园充电站
CH2026080200027,已完成,2026-08-02 18:35:24,2026-08-02 20:05:24,10.5,13.44,18611112222,ST01-P03,北京理工大学充电站
CH2026080200026,已完成,2026-08-02 21:17:24,2026-08-02 21:47:24,3.5,4.73,18611112222,ST02-P03,中关村软件园充电站
CH2026080200019,已完成,2026-08-02 21:23:24,2026-08-02 22:38:24,8.75,11.2,13912345678,ST01-P03,北京理工大学充电站
CH2026080200020,已完成,2026-08-02 22:47:24,2026-08-03 00:17:24,90.0,108.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080300025,已完成,2026-08-03 00:53:24,2026-08-03 01:53:24,60.0,72.0,18611112222,ST03-P01,五道口地铁充电站
CH2026080300024,已完成,2026-08-03 01:32:24,2026-08-03 02:02:24,3.5,4.73,13800138000,ST02-P04,中关村软件园充电站
CH2026080300022,已完成,2026-08-03 07:27:24,2026-08-03 08:27:24,7.0,9.45,13912345678,ST02-P03,中关村软件园充电站
CH2026080300021,已完成,2026-08-03 07:49:24,2026-08-03 08:29:24,40.0,51.2,13800138000,ST01-P01,北京理工大学充电站
CH2026080300030,已完成,2026-08-03 17:24:24,2026-08-03 18:24:24,60.0,72.0,13912345678,ST03-P02,五道口地铁充电站
CH2026080300033,已完成,2026-08-03 19:40:24,2026-08-03 20:55:24,8.75,11.81,13800138000,ST02-P03,中关村软件园充电站
CH2026080300032,已完成,2026-08-03 23:33:24,2026-08-04 00:13:24,40.0,54.0,18611112222,ST02-P01,中关村软件园充电站
CH2026080400028,已完成,2026-08-04 03:50:24,2026-08-04 05:05:24,75.0,96.0,13800138000,ST01-P02,北京理工大学充电站
CH2026080400031,已完成,2026-08-04 05:57:24,2026-08-04 06:57:24,60.0,76.8,18611112222,ST01-P01,北京理工大学充电站
CH2026080400029,已完成,2026-08-04 07:16:24,2026-08-04 08:06:24,5.833,7.87,18611112222,ST02-P03,中关村软件园充电站
CH2026080400034,已完成,2026-08-04 16:42:24,2026-08-04 17:02:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080400035,已完成,2026-08-04 17:02:24,2026-08-04 17:32:24,3.5,4.2,13912345678,ST03-P03,五道口地铁充电站
